#{"t_start": 1618264023.322426, "env_id": null}
r,l,t
-0.809524,9,304.200708
-0.928571,4,304.437045
-0.738095,12,305.122283
-0.904762,5,305.404528
-0.880952,6,305.751608
-0.833333,8,306.212651
-0.809524,9,306.742238
-0.857143,7,307.149117
-0.928571,4,307.381551
-0.857143,7,307.78746
-0.928571,4,308.034803
-0.857143,7,308.473626
-9.809524,9,308.956336
1.071429,4,309.14483
-0.928571,4,309.377208
-0.785714,10,309.976633
-0.880952,6,310.326698
-0.809524,9,310.843289
-0.880952,6,311.193383
-0.880952,6,311.542418
-0.833333,8,312.027122
1.071429,4,312.233579
-0.880952,6,312.608794
-0.904762,5,312.903006
-0.785714,10,313.473568
1.071429,4,313.680007
-0.857143,7,314.112858
-0.785714,10,314.687405
-0.857143,7,315.084694
-0.857143,7,315.486639
-0.857143,7,315.890531
-0.833333,8,316.357309
-0.880952,6,316.703357
-0.857143,7,317.122269
-0.904762,5,317.417478
-0.928571,4,317.653845
-0.904762,5,317.948031
-0.833333,8,318.426784
-0.904762,5,318.727943
-0.833333,8,319.192703
-0.928571,4,319.426108
-0.857143,7,319.841996
-0.904762,5,320.135737
-0.928571,4,320.376094
-0.928571,4,320.611465
-0.833333,8,321.079214
-0.833333,8,321.526019
-0.857143,7,321.934659
-0.761905,11,322.55899
-0.761905,11,323.190634
-0.928571,4,323.436009
-0.928571,4,323.679357
-0.809524,9,324.202927
-0.904762,5,324.505148
-0.904762,5,324.808308
-0.880952,6,325.165354
-0.928571,4,325.403717
-0.857143,7,325.804644
-0.785714,10,326.396064
-0.880952,6,326.758095
-0.928571,4,327.023387
-9.619048,17,327.90913
-0.833333,8,328.475616
-0.880952,6,328.888511
-0.928571,4,329.165808
-0.904762,5,329.495054
-0.833333,8,330.004689
-0.857143,7,330.443521
-0.904762,5,330.759372
-0.833333,8,331.284932
-0.833333,8,331.744703
-0.857143,7,332.193503
-0.833333,8,332.691173
-0.880952,6,333.070191
1.071429,4,333.265665
-0.857143,7,333.679557
-0.928571,4,333.934855
1.071429,4,334.154288
-0.857143,7,334.583119
1.071429,4,334.781598
-0.904762,5,335.085802
1.261905,12,335.708346
-0.833333,8,336.182059
1.214286,10,336.712628
-0.904762,5,337.036791
-0.809524,9,337.578343
-0.904762,5,337.906464
-0.928571,4,338.168735
-0.928571,4,338.428045
-0.928571,4,338.672414
-0.904762,5,338.979594
-0.928571,4,339.222916
-0.880952,6,339.587969
-0.880952,6,339.963934
-0.928571,4,340.222244
-0.880952,6,340.585304
1.190476,9,341.058007
1.071429,4,341.25548
-0.928571,4,341.488883
1.071429,4,341.694306
-0.880952,6,342.06335
-0.880952,6,342.413383
-0.857143,7,342.818332
-0.904762,5,343.130468
1.095238,5,343.40274
-0.833333,8,343.881457
-0.857143,7,344.304355
-0.857143,7,344.75213
-0.833333,8,345.242817
-0.785714,10,345.824291
-0.857143,7,346.245136
1.214286,10,346.779737
-0.880952,6,347.14573
-0.880952,6,347.490834
-0.857143,7,347.906724
-0.857143,7,348.320616
-0.904762,5,348.61879
-0.928571,4,348.867126
-0.880952,6,349.217189
-0.904762,5,349.510434
-0.928571,4,349.757123
-0.833333,8,350.257783
-0.833333,8,350.717554
-0.857143,7,351.126491
-0.809524,9,351.648067
-0.928571,4,351.884466
-0.880952,6,352.257464
1.095238,5,352.519769
-0.833333,8,352.972524
-0.928571,4,353.214907
-0.857143,7,353.614808
-0.880952,6,353.963875
-0.880952,6,354.335908
-0.880952,6,354.687964
-0.857143,7,355.103825
-0.880952,6,355.452891
1.071429,4,355.649393
1.071429,4,355.84986
-0.857143,7,356.263723
-0.880952,6,356.630742
-0.809524,9,357.14736
-0.880952,6,357.492465
-0.857143,7,357.906359
-0.833333,8,358.378069
-0.880952,6,358.754732
