#{"t_start": 1618253494.2781935, "env_id": null}
r,l,t
1.142857,7,151.697756
-0.761905,11,151.901243
1.095238,5,151.999954
1.142857,7,152.145358
1.190476,9,152.295027
-9.809524,9,152.449864
1.190476,9,152.613661
-0.833333,8,152.772228
1.095238,5,152.871698
-0.738095,12,153.094385
-9.785714,10,153.268919
-9.785714,10,153.452437
1.261905,12,153.663664
-0.880952,6,153.796308
1.119048,6,153.911001
-0.833333,8,154.076558
-9.785714,10,154.242115
1.285714,13,154.476938
-9.714286,13,154.70529
-0.785714,10,154.90095
1.214286,10,155.085202
1.095238,5,155.187623
1.119048,6,155.302324
-0.928571,4,155.396416
-0.761905,11,155.594182
-0.904762,5,155.698901
-9.738095,12,155.900363
1.190476,9,156.066641
1.190476,9,156.228271
1.095238,5,156.325014
1.166667,8,156.465349
1.142857,7,156.602137
-9.785714,10,156.777653
1.142857,7,156.906446
-0.785714,10,157.093311
1.190476,9,157.260865
1.214286,10,157.438624
-9.785714,10,157.612129
1.119048,6,157.727806
1.238095,11,157.929249
-0.857143,7,158.075354
-9.833333,8,158.203982
1.238095,11,158.418211
-0.809524,9,158.57786
1.142857,7,158.711501
-0.833333,8,158.860113
-9.809524,9,159.016896
-9.666667,15,159.2772
1.142857,7,159.416826
1.238095,11,159.610337
1.166667,8,159.752691
-0.809524,9,159.922144
1.142857,7,160.063064
1.166667,8,160.196709
1.119048,6,160.307415
1.095238,5,160.408146
1.166667,8,160.562732
-0.833333,8,160.721306
1.214286,10,160.905784
1.190476,9,161.068373
1.119048,6,161.191045
1.166667,8,161.339643
1.190476,9,161.507203
1.142857,7,161.639113
-0.880952,6,161.76891
-0.880952,6,161.885623
-9.785714,10,162.064119
1.119048,6,162.174823
1.142857,7,162.295501
1.071429,4,162.38526
1.214286,10,162.561641
1.261905,12,162.777065
1.309524,14,163.026397
-0.928571,4,163.121152
1.214286,10,163.298668
1.119048,6,163.414608
-9.809524,9,163.571186
1.142857,7,163.708822
1.214286,10,163.891321
1.190476,9,164.051889
1.166667,8,164.199502
-0.904762,5,164.300239
1.190476,9,164.46676
1.071429,4,164.551552
1.190476,9,164.706626
1.095238,5,164.804335
1.119048,6,164.92626
1.142857,7,165.056924
1.214286,10,165.239401
1.190476,9,165.404957
1.238095,11,165.598466
-0.833333,8,165.75502
1.119048,6,165.86675
-0.904762,5,165.97144
1.142857,7,166.100938
1.190476,9,166.259542
-0.642857,16,166.536851
-9.785714,10,166.711354
-0.857143,7,166.853972
-0.738095,12,167.072389
1.119048,6,167.184835
1.166667,8,167.340419
1.190476,9,167.510926
-0.833333,8,167.660537
1.214286,10,167.842739
1.142857,7,167.982363
-0.738095,12,168.195366
1.285714,13,168.42822
-0.761905,11,168.636673
1.071429,4,168.718447
1.119048,6,168.830162
-0.785714,10,169.024608
1.166667,8,169.170244
-0.761905,11,169.381893
1.095238,5,169.481625
1.261905,12,169.698889
1.190476,9,169.862454
-0.833333,8,170.011052
-0.738095,12,170.236005
-9.857143,7,170.358481
1.095238,5,170.464199
1.309524,14,170.74744
-0.761905,11,170.989793
-0.761905,11,171.249097
1.142857,7,171.390733
-9.714286,13,171.612305
-9.857143,7,171.741012
-0.785714,10,171.92875
1.190476,9,172.096301
-9.761905,11,172.28165
-9.738095,12,172.481117
1.142857,7,172.617751
1.214286,10,172.80028
-9.642857,16,173.075526
1.142857,7,173.202464
-9.738095,12,173.418852
1.166667,8,173.563493
-9.761905,11,173.751996
-0.857143,7,173.89721
1.214286,10,174.079694
1.285714,13,174.296396
1.119048,6,174.417076
1.261905,12,174.629509
1.095238,5,174.731227
1.142857,7,174.85989
1.142857,7,174.995526
1.261905,12,175.208961
1.166667,8,175.361168
