#{"t_start": 1618268456.6685603, "env_id": null}
r,l,t
1.071429,4,414.253077
-0.928571,4,414.50535
-0.857143,7,414.90927
-0.904762,5,415.213456
1.071429,4,415.411925
-0.880952,6,415.758997
-0.880952,6,416.110058
1.238095,11,416.706464
-0.904762,5,417.017632
-0.857143,7,417.458481
-0.880952,6,417.829473
1.190476,9,418.300202
1.214286,10,418.818815
-0.880952,6,419.171903
1.071429,4,419.363385
-0.928571,4,419.605711
-0.809524,9,420.121332
1.166667,8,420.541209
-0.857143,7,420.943352
1.071429,4,421.143815
-0.928571,4,421.398103
-0.833333,8,421.857345
-0.785714,10,422.445418
1.071429,4,422.639893
-0.857143,7,423.041824
-0.904762,5,423.343014
-0.928571,4,423.612267
-0.880952,6,423.959339
-0.880952,6,424.346303
1.190476,9,424.837113
1.190476,9,425.371682
-0.904762,5,425.67487
1.190476,9,426.173537
-0.857143,7,426.57948
1.071429,4,426.776923
-0.880952,6,427.139953
-0.880952,6,427.510962
1.071429,4,427.710427
-0.880952,6,428.052546
-0.880952,6,428.409559
-0.833333,8,428.911246
1.071429,4,429.119659
-0.880952,6,429.49369
1.214286,10,430.016262
-0.904762,5,430.310475
1.095238,5,430.570813
-0.880952,6,430.927824
1.071429,4,431.133276
-0.904762,5,431.436499
-0.833333,8,431.913427
-0.857143,7,432.325299
1.071429,4,432.522797
-0.904762,5,432.823965
-0.833333,8,433.300691
-0.857143,7,433.723588
-0.880952,6,434.070663
1.214286,10,434.618168
-0.785714,10,435.207097
-0.857143,7,435.618995
-0.857143,7,436.037905
-0.809524,9,436.564504
1.214286,10,437.119982
1.071429,4,437.317453
1.071429,4,437.517918
-0.809524,9,438.014416
-0.857143,7,438.439699
-0.857143,7,438.860606
1.071429,4,439.058071
-0.880952,6,439.414092
-0.857143,7,439.830979
-0.857143,7,440.256839
-0.833333,8,440.723592
1.261905,12,441.391804
-0.928571,4,441.629205
1.071429,4,441.825645
-0.833333,8,442.299377
-0.761905,11,442.952632
-0.714286,13,443.713595
-0.880952,6,444.061695
1.071429,4,444.266798
-0.880952,6,444.632859
-0.904762,5,444.94303
1.214286,10,445.479595
-0.809524,9,445.999206
-0.904762,5,446.303394
-0.880952,6,446.658471
1.190476,9,447.139189
-0.904762,5,447.441377
-0.904762,5,447.736559
-0.880952,6,448.088619
-0.880952,6,448.444701
-0.761905,11,449.060021
1.071429,4,449.262479
-0.857143,7,449.665402
-0.904762,5,449.955625
-0.833333,8,450.428362
1.071429,4,450.632842
1.071429,4,450.826298
-0.857143,7,451.24418
-0.857143,7,451.693204
-0.833333,8,452.16397
-0.857143,7,452.566867
1.071429,4,452.769324
-0.904762,5,453.064537
-0.857143,7,453.487951
-0.880952,6,453.83306
-0.904762,5,454.140207
-0.857143,7,454.552107
-0.857143,7,454.978384
-0.880952,6,455.329418
-0.904762,5,455.618675
-0.880952,6,455.969737
-0.880952,6,456.32111
-0.833333,8,456.775917
1.071429,4,456.980341
-0.857143,7,457.378748
1.071429,4,457.589213
-0.833333,8,458.043001
-0.761905,11,458.692235
-9.642857,16,459.577485
-0.880952,6,459.917604
-0.880952,6,460.265659
