#{"t_start": 1618262887.9254274, "env_id": null}
r,l,t
-0.880952,6,397.480736
-0.714286,13,398.358922
-0.880952,6,398.729554
-0.928571,4,398.976926
-0.833333,8,399.472571
-0.904762,5,399.786762
-0.738095,12,400.467564
-0.785714,10,401.119206
-0.928571,4,401.372935
-0.809524,9,401.917546
-0.904762,5,402.22187
-0.833333,8,402.707942
1.190476,9,403.198605
-0.928571,4,403.470905
-0.880952,6,403.836996
-0.833333,8,404.320652
-0.833333,8,404.786154
-0.904762,5,405.1063
-0.857143,7,405.536269
-0.904762,5,405.850443
-0.904762,5,406.184434
-0.928571,4,406.44614
-0.928571,4,406.695502
-0.904762,5,407.00567
-0.928571,4,407.259549
-0.785714,10,407.867645
-0.904762,5,408.178319
-0.880952,6,408.55531
1.071429,4,408.761761
-0.880952,6,409.119135
-0.904762,5,409.446831
-0.904762,5,409.758826
-0.785714,10,410.364376
-0.928571,4,410.628699
-0.928571,4,410.881995
-0.880952,6,411.245086
1.071429,4,411.459538
-0.857143,7,411.89926
-0.880952,6,412.269269
-0.928571,4,412.519624
-0.833333,8,413.007907
-0.857143,7,413.449834
1.071429,4,413.656281
-0.880952,6,414.039284
-0.880952,6,414.405335
-0.833333,8,414.890429
-0.857143,7,415.321071
-0.904762,5,415.627225
-0.880952,6,416.010828
-0.904762,5,416.33448
1.071429,4,416.545882
1.071429,4,416.755323
-9.785714,10,417.298394
-0.785714,10,417.962302
-0.809524,9,418.493879
-0.857143,7,418.921795
-0.880952,6,419.296789
1.214286,10,419.860352
-0.880952,6,420.229367
1.190476,9,420.72755
-0.880952,6,421.095662
-0.904762,5,421.400817
1.261905,12,422.077523
-0.904762,5,422.386726
-0.904762,5,422.691657
1.071429,4,422.889129
-0.880952,6,423.262134
-0.809524,9,423.807286
-0.880952,6,424.180698
-0.785714,10,424.773542
-0.785714,10,425.370913
-0.904762,5,425.684586
-0.833333,8,426.169322
-0.833333,8,426.649015
-0.928571,4,426.910898
-0.880952,6,427.290424
-0.880952,6,427.684371
-0.809524,9,428.217959
-0.928571,4,428.483239
-0.880952,6,428.84279
-0.857143,7,429.2672
-0.880952,6,429.642139
-0.928571,4,429.903971
-0.880952,6,430.285494
-0.904762,5,430.589201
-0.833333,8,431.060943
-0.809524,9,431.607757
-0.833333,8,432.102814
-0.880952,6,432.469834
-0.833333,8,432.960303
1.190476,9,433.45617
-0.904762,5,433.770097
-0.857143,7,434.192996
-0.857143,7,434.663855
-0.833333,8,435.140903
-0.857143,7,435.660509
-0.928571,4,435.924314
